id,season,episode,scene,line_text,speaker,deleted
226,1,1,39,great let just,Jim,False
227,1,1,39,[car horn honking] oh roy,Jim,False
228,1,1,39,yeah listen nice weekend,Pam,False
229,1,1,39,yeah definitely too enjoy it [looks camera] know what come here,Jim,False
271,1,2,1,hey uh help here,Michael,False
272,1,2,1,oh i'm set thanks,Mr. Brown,False
273,1,2,1,gotcha good i'd go rows that's good idea,Michael,False
274,1,2,2,today diversity day someone's going come talk us diversity something i've pushing i've wanting push long time corporate mandated it never actually talked corporate it kind beat punch bastards going to think important this i'm very excited,Michael,False
275,1,2,3,that's thing sturdy paper back says '100% post-consumer content.' what hello uh-huh wait what i'm sorry mr decker think i'm losing you [shedder whirring] hello hello yeah hold one second know hold one second,Jim,False
276,1,2,3,really right now,Jim,False
277,1,2,3,yes do done weeks ago actually,Dwight,False
278,1,2,3,mr decker i'm sorry that you hold one second yeah one second thanks [power off silence] hello that's it perfect saying [dialing tone] hello thanks dwight,Jim,False
279,1,2,3,retaliation tit tit,Dwight,False
280,1,2,3,expression,Jim,False
281,1,2,3,well be,Dwight,False
282,1,2,4,biggest sale year love reason i'm really sure make one call every year renew account one call ends 25% commission whole year buy mini bottle champagne celebrate little year i'm pushing recycled paper one percent more know i'm getting cocky right,Jim,False
283,1,2,5,solitaire,Jim,False
284,1,2,5,yeah freecell,Pam,False
285,1,2,5,six seven,Jim,False
286,1,2,5,know saw that,Pam,False
287,1,2,5,then it,Jim,False
288,1,2,5,i'm saving 'cause like cards go t-ts-ts-tch-tch-tch,Pam,False
289,1,2,5,love that,Jim,False
290,1,2,6,hey oscar! doing man,Michael,False
291,1,2,6,right,Oscar,False
292,1,2,6,good weekend going there,Michael,False
293,1,2,6,fine,Oscar,False
294,1,2,6,oh yeah bet fun [to mr brown] oh hey! oscar---,Michael,False
295,1,2,6,martinez,Oscar,False
296,1,2,6,right see even know first-name basis!,Michael,False
297,1,2,6,great we're set,Mr. Brown,False
298,1,2,6,oh hey well diversity everybody let's it oscar works in here jim could wrap up please,Michael,False
299,1,2,6,yeah uh mr decker please,Jim,False
300,1,2,6,diversity day jim wish every day diversity day,Michael,False
301,1,2,6,know what i'm actually going call back thank you sorry that,Jim,False
302,1,2,7,thank you thank you thank you great,Mr. Brown,False
303,1,2,7,come people let's get 'em in get cards! get cards!,Michael,False
304,1,2,7,thank you thank much ok thanks filling promise this'll quick diversity today philosophy honesty positive expectations believe 99% problems workplace arise simply ignorance,Mr. Brown,False
305,1,2,7,know what color-free-zone here stanley look another race,Michael,False
306,1,2,7,uh see i'm talking about pretend we're color-blind,Mr. Brown,False
307,1,2,7,exactly not,Michael,False
308,1,2,7,that's fighting ignorance ignorance,Mr. Brown,False
309,1,2,7,tolerance,Michael,False
310,1,2,7,no ignorance,Mr. Brown,False
311,1,2,7,ignorance,Michael,False
312,1,2,7,right exactly uh instead need celebrate diversity,Mr. Brown,False
313,1,2,7,let's celebrate,Michael,False
314,1,2,7,right ok,Mr. Brown,False
315,1,2,7,celebrate good times come on! let's celebrate diversity right,Michael,False
316,1,2,7,yes exactly here's we're going do i've noticed that,Mr. Brown,False
317,1,2,7,know what here's we're going do go around everybody everybody say race attracted sexually go last go,Michael,False
318,1,2,7,two white indian,Dwight,False
319,1,2,7,actually i'd prefer start way michael would love permission run session permission,Mr. Brown,False
320,1,2,7,yes,Michael,False
321,1,2,7,thank much would also help seated,Mr. Brown,False
322,1,2,7,ok,Michael,False
323,1,2,7,thank you ok now start session write incident found offensive workplace now i'm going choose one we're going act out,Mr. Brown,False
324,1,2,7,ground rules,Dwight,False
325,1,2,7,hey hey run i'll run him,Michael,False
326,1,2,7,ok steer away gay people,Dwight,False
327,1,2,7,um,Mr. Brown,False
328,1,2,7,i'm sorry orientation race plus lot races intolerant gays so...paradox,Dwight,False
329,1,2,7,well hour,Mr. Brown,False
330,1,2,7,figured would save time,Dwight,False
331,1,2,7,ok defer mr,Michael,False
332,1,2,7,mr brown,Mr. Brown,False
333,1,2,7,ah oh right! ok first test call that,Michael,False
334,1,2,7,well name test ok um looking cards i've noticed many wrote incident ironic exact incident brought respond to now many familiar chris rock routine good ok,Mr. Brown,False
335,1,2,8,come chris rock routine everybody finds hilarious ground-breaking go exact routine comedic timing people file complaint corporate i'm white chris black,Michael,False
336,1,2,9,we're going reenact positive outcome,Mr. Brown,False
337,1,2,9,play chris rock guy would like see someone else pull off,Michael,False
338,1,2,9,well let's someone involved reenactment,Mr. Brown,False
339,1,2,9,ok play guy listening,Michael,False
340,1,2,9,great guy listening ok anyone else remember,Mr. Brown,False
341,1,2,9,remember,Kevin,False
342,1,2,9,great chris rock guy guy listening,Mr. Brown,False
343,1,2,9,ok,Michael,False
344,1,2,10,kevin great guy he's great accountant much entertainer,Michael,False
345,1,2,11,basically two types black people black people actually racist hate type black people every time one type wants good time type comes makes real mess,Kevin,False
346,1,2,11,ok i'm sorry i'm sorry he's ruin he's butchering it could let me [as chris rock] every time every time black people want good time ignant ass [bleep] take care kid!,Michael,False
347,1,2,11,wait second,Mr. Brown,False
348,1,2,11,[bleep] always want credit something supposed do!,Michael,False
349,1,2,11,stop it!,Mr. Brown,False
350,1,2,11,[as chris rock] want cookie,Michael,False
351,1,2,12,now simple acronym hero uh diversity today believe easy hero need honesty empathy respect open-mindedness,Mr. Brown,False
352,1,2,12,excuse me i'm sorry that's takes hero,Dwight,False
353,1,2,12,oh great well hero you,Mr. Brown,False
354,1,2,12,hero kills people people wish harm,Dwight,False
355,1,2,12,ok,Mr. Brown,False
356,1,2,12,hero part-human part-supernatural hero born childhood trauma disaster must avenged,Dwight,False
357,1,2,12,ok thinking superhero,Mr. Brown,False
358,1,2,12,hero heart,Dwight,False
359,1,2,12,now need take forms kind expresses joint experience today need look 'em sign kind group pledge,Mr. Brown,False
360,1,2,12,[clears throat] think sign this,Michael,False
361,1,2,12,can't leave do,Mr. Brown,False
362,1,2,12,well ok says learned something knew stuff already so know could sign something says taught something helped teach something so pam! she pam could change something this,Michael,False
363,1,2,12,michael talk candidly,Mr. Brown,False
364,1,2,12,sure,Michael,False
365,1,2,13,know i'm comments made,Mr. Brown,False
366,1,2,13,here's thing office think advanced terms of racial awareness probably advanced used to that's probably throwing little bit,Michael,False
367,1,2,13,um throwing me need signature,Mr. Brown,False
368,1,2,13,ok well know told several times,Michael,False
369,1,2,13,yes listening me signature need,Mr. Brown,False
370,1,2,13,ok,Michael,False
371,1,2,13,instructions corporate offices put seminar comments made reason made copies everyone embarrassed,Mr. Brown,False
372,1,2,13,well thinking actually cared diversity training don't,Michael,False
373,1,2,13,worry dating,Mr. Brown,False
374,1,2,13,won't,Michael,False
375,1,2,13,ok thank you,Mr. Brown,False
376,1,2,13,yeah yeah,Michael,False
377,1,2,14,regret actions regret offending coworkers pledge bring best spirit honesty empathy respect open-mindedness...' open-mindedness even word '...into workplace way truly hero signed daffy duck.' [laughing] he's going lose reads that,Michael,False
378,1,2,15,yeah hi mr decker around oh well could call lunch thank you,Jim,False
379,1,2,15,"pledge always keep open mind open heart.' believe part pledge read pledge come on mean we girl scouts no look guy 'mr brown,' got us halfway there got us talking well no got us talking got us nothing insulted us abandoned us call diversity training don't connections us anyone look eye emotion going on no heart see heart oprah moment ok get much done lunch because afterward i'm going tears",Michael,False
380,1,2,16,right everybody pretty come on go time let's good,Michael,False
381,1,2,16,hey we're going sit circle indian style we [laughing],Toby,False
382,1,2,16,get out,Michael,False
383,1,2,16,i'm sorry,Toby,False
384,1,2,16,no joke ok offensive lame double offensive environment welcoming get hell here ok let's go let's it come on let's fun everybody go take seat cop squat um thanks coming in um diversity cornerstone progress i've always said take word it let's take look tape,Michael,False
385,1,2,17,[on tape] hi i'm michael scott i'm charge dunder mifflin paper products scranton pennsylvania i'm also founder diversity tomorrow today almost over abraham lincoln said that 'if racist attack north.' principles carry workplace,Michael,False
386,1,2,18,ok questions comments anybody jim,Michael,False
387,1,2,18, uh it,Jim,False
388,1,2,18,yes hour put together i'm going add later on,Michael,False
389,1,2,18,kind hard hear,Kevin,False
390,1,2,18,uh yes probably something camera work anybody else um,Michael,False
391,1,2,18,customer meeting,Kelly,False
392,1,2,18,yeah well leave we'll two left yes enjoy absolutely namaste ok well since leading this let's get business kind introduce myself ok um michael part english irish german scottish sort virtual united nations might know also part native american indian,Michael,False
393,1,2,18,part native american,Oscar,False
394,1,2,18,two fifteenths,Michael,False
395,1,2,18,two fifteenths fraction make sense,Oscar,False
396,1,2,18,well know what kind hard talk it suffering else let's get popping come on who's going who's going let's go here oscar right here on,Michael,False
397,1,2,18,ok michael um parents born mexico,Oscar,False
398,1,2,18,oh yeah,Michael,False
399,1,2,18,and uh moved united sates year born grew united states,Oscar,False
400,1,2,18,wow,Michael,False
401,1,2,18,parents mexican,Oscar,False
402,1,2,18,wow is great story that's american dream right there right,Michael,False
403,1,2,18,thank yeah,Oscar,False
404,1,2,18,um let ask you term besides mexican prefer something less offensive,Michael,False
405,1,2,18,mexican offensive,Oscar,False
406,1,2,18,well certain connotations,Michael,False
407,1,2,18,like what,Oscar,False
408,1,2,18,like don't know,Michael,False
409,1,2,18,connotations michael meant something,Oscar,False
410,1,2,18,no now remember honesty,Michael,False
411,1,2,18,i'm curious,Oscar,False
412,1,2,18,empathy respect [phone ringing] jim! jim!,Michael,False
413,1,2,18,hello hello,Jim,False
414,1,2,19,something here want take card put fore look card want take card put forehead and take card take card card um want treat people like race forehead ok everybody different race nobody knows race is so want really go it cause real know exercise real life and dream really let sparks fly get 'er done,Michael,False
415,1,2,20,why martin luther king hero mine there's great chris rock bit streets named martin luther king tend violent i'm going it's,Michael,False
416,1,2,21,oh good one,Michael,False
417,1,2,21,um hi you,Pam,False
418,1,2,21,fine you,Stanley,False
419,1,2,21,great,Pam,False
420,1,2,21,push it,Michael,False
421,1,2,21,admire culture's success america,Stanley,False
422,1,2,21,thank you,Pam,False
423,1,2,21,good bom bom bom-bom bom come olympics suffering right here slavery versus holocaust come on,Michael,False
424,1,2,21,supposed be,Stanley,False
425,1,2,21,no inadvertent actually plan that,Michael,False
426,1,2,21,lots cultures eat rice help me,Dwight,False
427,1,2,21,um shalom i'd like apply loan,Dwight,False
428,1,2,21,that's nice dwight,Pam,False
429,1,2,21,ok me something stereotypical get really quick,Dwight,False
430,1,2,21,ok like food,Pam,False
431,1,2,21,outback steakhouse [australian accent] i'm australian mate!,Dwight,False
432,1,2,21,pam come on 'i like food.' come stir pot stir melting pot pam! let's it let's get ugly let's get real,Michael,False
433,1,2,21,ok this based stereotypes totally untrue agree with would maybe  good driver,Pam,False
434,1,2,21,oh man woman,Dwight,False
435,1,2,22,notice anybody arab thought would explosive pun intended though 'too soon arabs.' maybe next year um know ball's court,Michael,False
436,1,2,23,watching,Jim,False
437,1,2,23,chappelle's show,Ryan,False
438,1,2,23,really,Jim,False
439,1,2,23,downloaded computer hope mind lot extra space,Ryan,False
440,1,2,23,way think likes stuff,Jim,False
441,1,2,23,great cute huh,Ryan,False
442,1,2,23,yeah know engaged but,Jim,False
443,1,2,23,oh no girl the sketch,Ryan,False
444,1,2,23,oh yeah hot,Jim,False
445,1,2,24,hey,Kevin,False
446,1,2,24,hey,Angela,False
447,1,2,24,wanna go beach,Kevin,False
448,1,2,24,sure,Angela,False
449,1,2,24,wanna get high,Kevin,False
450,1,2,24,no,Angela,False
451,1,2,24,think do mon,Kevin,False
452,1,2,24,stop,Angela,False
453,1,2,24,ok right no good need push it need go little bit further right ok,Michael,False
454,1,2,25,[voice raised indian accent] kelly you,Michael,False
455,1,2,25,longest meeting,Kelly,False
456,1,2,25,oh! welcome convenience store would like googi googi delicious googi googi 99 cents plus tax try googi googi [lowering voice] try googi googi [high-pitched voice] try googi googi try my [slap!],Michael,False
457,1,2,25,[trying cry] right! right! yes! great gets it! knows like minority,Michael,False
458,1,2,26,[on phone] mr decker lose sale today we excellent ok let get your what's that no close last time need your oh w-what code given oh ok that's actually another salesman here redo want that oh gave discount no blame you,Jim,False
459,1,2,27,hated guy here mr brown real name mean never met us before telling us thing wanted wanted way know own man gotten food,Michael,False
460,1,2,27,[itialian accent]maybe spagh-etti,Kevin,False
461,1,2,27,okay kevin take thing ok would really really shown up it i'd brought burritos colored greens pad thai love pad thai,Michael,False
462,1,2,27,collard greens,Stanley,False
463,1,2,27,what,Michael,False
464,1,2,27,collard greens,Stanley,False
465,1,2,27,really make sense call collared people that's offensive hmmm ok well five so thank much buena vista oscar thank you good job oh man thank brazil nice,Michael,False
466,1,2,28,[pam asleep resting head jim's shoulder] um hey,Jim,False
467,1,2,28,[stirs] mmmm,Pam,False
468,1,2,28,hey,Jim,False
469,1,2,28,oh,Pam,False
470,1,2,28,go,Jim,False
471,1,2,28,sorry,Pam,False
472,1,2,28,that's fine,Jim,False
473,1,2,29,uh bad day,Jim,False
498,1,2,33,would've easy spell insect course made sense either,Pam,False
509,1,2,35,yeah um there's good things michael uh uh yeah definitely um,Pam,False
533,1,2,41,talk like talking race feeling could get kind volatile keep going [camera shows devon sitting outside west nile],Michael,False
556,1,2,43,[dwight's new race 'dwight'] could french,Dwight,False
557,1,2,44,[takes 'dwight' race forehead] damn it jim! that's funny jim!,Dwight,False
558,1,2,44,oh okay go breakthrough radar happened happened here,Michael,False
559,1,2,44,anything race,Pam,False
560,1,2,44,okay right let's keep track keep point let's it,Michael,False
562,1,2,46,try googi googi [lowering voice] try googi googi [high-pitched voice] try googi googi try my [kelly slaps michael] right! right! yes! great gets it! kelly thank you [claps] here gets it that's looking for whole time [trying cry] oh man thrive on know like rickles acid man right,Michael,False
563,1,2,46,um slap martin luther king,Jim,False
564,1,2,46,what huh,Michael,False
565,1,2,46,card she,Pam,False
566,1,2,46,think wearing card,Jim,False
567,1,2,46,good good got happening now right let's keep rolling let's round up,Michael,False
568,1,3,1,pam pamela pam-elama-ding-dong making copies,Michael,False
569,1,3,1,i'm making copies,Pam,False
570,1,3,1,let's go messages stat lots do lots do information superhighway,Michael,False
571,1,3,1,nothing new,Pam,False
572,1,3,1,lay me what,Michael,False
573,1,3,1,there's nothing new,Pam,False
574,1,3,1,that's said earlier,Michael,False
575,1,3,1,oh want repeat messages gave the [nods toward camera],Pam,False
576,1,3,2,sacred thing care provide workers family give money give food directly money heal them today charge picking great new health care plan right that's about make doctor um yes way yeah like specialist,Michael,False
577,1,3,3,so health plan decided on,Jan,False
578,1,3,3,going go best jan going go one acupuncture therapeutic massage know works,Michael,False
579,1,3,3,wait acupuncture none plans acupuncture looked closely michael,Jan,False
580,1,3,3,think look closely enough gold plan,Michael,False
581,1,3,3,gold plan i'm even plan,Jan,False
